المعرف,الاسم,"العلامة الإزامية(نسبة إكمال البيانات)","العلامة الإجمالية(نسبة إكمال البيانات)","معتمدة بتاريخ","معتمدة من قبل المديرية بتاريخ","معتمدة من قبل الوزارة بتاريخ","المعرف(الشكل القانوني)","الاسم(الشكل القانوني)","مستخدم المديرية المعتمد","مستخدم الوزارة المعتمد",المعرف(المحافظة),الاسم(المحافظة)
525,"الامان الخيرية",73,76,,,,3,جمعية,,,1,دمشق,
526,"الأرض الخيرية البيئية بالقصير",57,55,,,,3,جمعية,,,9,حمص,
527,مورد,73,76,,,,3,جمعية,,,1,دمشق,
528,"الخضر الخيرية",73,76,,,,3,جمعية,,,14,طرطوس,
529,"السورية لرعاية السكريين",73,76,,,,3,جمعية,,,1,دمشق,
530,"حمص البيئية",57,55,,,,1,مؤسسة,,,9,حمص,
531,"السورية للخيول العربية الاصيلة",73,76,,,,3,جمعية,,,1,دمشق,
532,"رعاية الحضارة العربية",73,76,,,,3,جمعية,,,1,دمشق,
533,"الرابطة السورية لخريجي المؤسسات التعليمية السوفييتية والروسية",73,76,,,,5,رابطة,,,1,دمشق,
534,"الخيرية لإغاثة المحتاجين بالضمير",73,76,,,,3,جمعية,,,13,"ريف دمشق",
535,"رعاية المسجونين وأسرهم",57,55,,,,3,جمعية,,,11,اللاذقية,
536,"حي الإنشاءات الخيرية بحمص",57,55,,,,3,جمعية,,,9,حمص,
537,"أصدقاء البيئة",57,55,,,,3,جمعية,,,5,السويداء,
538,"السورية لحماية الحياة البرية",73,76,,,,3,جمعية,,,1,دمشق,
539,"الصداقة السورية اليابانية",57,55,,,,3,جمعية,,,9,حمص,
540,"المستقبل الخيرية",73,76,,,,3,جمعية,,,1,دمشق,
541,"السورية لخريجي الجامعات والمعاهد الالمانية",73,76,,,,3,جمعية,,,1,دمشق,
542,"السورية للأبحاث وطب الفم الوقائي",73,76,,,,3,جمعية,,,1,دمشق,
543,"حماية البيئة السورية",73,76,,,,3,جمعية,,,1,دمشق,
544,"الغيث الخيرية",73,76,,,,3,جمعية,,,1,دمشق,
545,"الصداقة العربية السورية الفنزويلية",83,80,,,,3,جمعية,,,5,السويداء,
546,"امهات الخير في التل",73,78,,,,3,جمعية,,,13,"ريف دمشق",
547,"الغادة الخيرية",83,78,,,,3,جمعية,,,1,دمشق,
548,"النهضة الخيرية في قرية عيون الوادي",57,55,,,,3,جمعية,,,9,حمص,
549,"الأرض الخيرية البيئية بالقصير",57,55,,,,3,جمعية,,,9,حمص,
550,"الطيبة الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
551,"أصدقاء يبرود",73,76,,,,3,جمعية,,,13,"ريف دمشق",
552,"الغدير الخيرية",57,57,,,,3,جمعية,,,2,حلب,
553,"متطوعون من أجل البيئة",57,55,,,,3,جمعية,,,7,"دير الزور",
554,"صندوق الرجاء لعمليات القلب المفتوح للأطفال والعائلات المستورة",73,76,,,,3,جمعية,,,1,دمشق,
555,"العلمية السورية للجودة",73,76,,,,3,جمعية,,,1,دمشق,
556,"اصدقاء مرض التلاسيميا وامراض الدم الوراثية",57,55,,,,3,جمعية,,,1,دمشق,
557,"الخيرية الآشورية بتل تمر",29,33,,,,3,جمعية,,,3,الحسكة,
558,"البر والإحسان في خان شيخون",57,55,,,,3,جمعية,,,10,إدلب,
559,"البر والإحسان بمو حسن",57,55,,,,3,جمعية,,,7,"دير الزور",
560,"الارض الخيرية للبيئة والتنمية الريفية والاجتماعية",57,55,,,,3,جمعية,,,9,حمص,
561,"السلام لرعاية الطفل بحمص",57,55,,,,3,جمعية,,,9,حمص,
562,"علي بن ابي طالب الخيرية في بيت سحم",73,76,,,,3,جمعية,,,13,"ريف دمشق",
563,"دير قانون الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
564,"قنوات الخيرية",57,55,,,,3,جمعية,,,5,السويداء,
565,"بدا الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
566,"الكيميائية السورية",57,55,,,,3,جمعية,,,1,دمشق,
567,"الرحمة الخيرية بالهامة",73,76,,,,3,جمعية,,,13,"ريف دمشق",
568,"الشيباني الخيرية في جديدة الوادي",73,76,,,,3,جمعية,,,13,"ريف دمشق",
569,"السورية للوقاية من حوادث الطرق",57,55,,,,3,جمعية,,,1,دمشق,
570,"المحبة الخيرية في النمرية",73,76,,,,3,جمعية,,,14,طرطوس,
571,"الرابطة السورية لخريجي الجامعات والمعاهد الهنغارية ( المجرية )",57,55,,,,5,رابطة,,,1,دمشق,
572,"الوطنية لتطوير دور المرأة",57,55,,,,3,جمعية,,,1,دمشق,
573,"السورية للعلاقات العامة",57,55,,,,3,جمعية,,,1,دمشق,
574,"عين الفيجة الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
575,"مفرق حجيرة الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
576,"حلبون الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
577,"المتقاعدين المدنيين في سلمية",83,80,,,,3,جمعية,,,8,حماة,
578,"رواد البيئة بجرمانا",73,76,,,,3,جمعية,,,13,"ريف دمشق",
579,"الاغا خان للخدمات التعليمية - سوريا",57,55,,,,1,مؤسسة,,,1,دمشق,
580,"الاغا خان للخدمات الثقافية - سوريا",57,55,,,,1,مؤسسة,,,1,دمشق,
581,"الاغا خان للخدمات الصحية - سوريا",57,55,,,,1,مؤسسة,,,1,دمشق,
582,"الصحة الخيرية دوما",73,76,,,,3,جمعية,,,13,"ريف دمشق",
583,"السورية لتنمية الطفل",57,55,,,,3,جمعية,,,1,دمشق,
584,"الاحسان الخيرية",57,55,,,,3,جمعية,,,6,درعا,
585,"الهداية الخيرية في التواني",73,76,,,,3,جمعية,,,13,"ريف دمشق",
586,"الجمعية العامة لرعاية وتأهيل  المصابين بالألغام",67,65,,,,3,جمعية,,,12,القنيطرة,
587,"السورية لمكافحة التدخين والمواد الضارة للصحة",57,55,,,,3,جمعية,,,1,دمشق,
588,"امل الغد للمعاقين والشلل الدماغي",52,57,,,,3,جمعية,,,,,
589,"الخيرية لحي بابا عمرو",52,55,,,,3,جمعية,,,,,
590,"الجولان الخيرية يتناول نشاطها محافظة القنيطرة",57,59,,,,3,جمعية,,,12,القنيطرة,
591,"البر والخدمات الاجتماعية في معرة النعمان",57,55,,,,3,جمعية,,,10,إدلب,
592,"مدينة الرعاية الإنسانية- إدلب",57,55,,,,3,جمعية,,,10,إدلب,
593,"الإحسان الخيرية في قرية مشقيتا",57,55,,,,3,جمعية,,,11,اللاذقية,
594,"الساحل السوري لحماية البيئة",57,55,,,,3,جمعية,,,11,اللاذقية,
595,"حماية الطرق من الحوادث",57,55,,,,3,جمعية,,,9,حمص,
596,"حماية الطيور البرية",57,55,,,,3,جمعية,,,1,دمشق,
597,"الخيرية بحوش عرب",73,76,,,,3,جمعية,,,13,"ريف دمشق",
598,"الصحة الخيرية بالغوطة الشرقية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
599,"سيدة اللاذقية الخيرية",57,55,,,,3,جمعية,,,11,اللاذقية,
600,"دفن الموتى الاسلامية",57,55,,,,3,جمعية,,,11,اللاذقية,
601,"الروضة الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
602,"نادي الشهباء العائلي",57,55,,,,4,نادي,,,2,حلب,
603,"الشهباء الخيرية",57,55,,,,3,جمعية,,,2,حلب,
604,"المستقبل للمعوقين جسدياً",57,63,,,,3,جمعية,,,2,حلب,
605,"جمعية التآلف",100,92,"2023-10-11 14:34:37",,,3,جمعية,,,2,حلب,
606,"المبرات الخيرية لأبناء الجولان",100,88,,,,3,جمعية,,,13,"ريف دمشق",
607,"رنكوس الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
608,"المبادرة الاجتماعية",57,55,,,,3,جمعية,,,1,دمشق,
609,"من أجل حلب",52,63,,,,3,جمعية,,,,,
610,"البر والخدمات الاجتماعية في أريحا",57,55,,,,3,جمعية,,,10,إدلب,
611,"النادي الأهلي في مصياف",90,80,,,,3,جمعية,,,14,طرطوس,
612,"رعاية المسنين",57,55,,,,3,جمعية,,,5,السويداء,
613,"الاجتماعية للشباب السوري",57,55,,,,3,جمعية,,,1,دمشق,
614,"الكفر الخيرية",52,55,,,,3,جمعية,,,,,
615,"الرعاية والتنمية الخيرية",57,55,,,,3,جمعية,,,1,دمشق,
616,"المستقبل الخيرية في يبرود",73,76,,,,3,جمعية,,,13,"ريف دمشق",
617,"الخيرية في المعرة",73,76,,,,3,جمعية,,,13,"ريف دمشق",
618,"رعاية المساجين وأسرهم في إدلب",57,55,,,,3,جمعية,,,10,إدلب,
619,"الزهراء الخيرية الاجتماعية الثقافية في قرية المجوي",57,55,,,,3,جمعية,,,8,حماة,
620,"السورية لمستشاري الادارة",57,55,,,,3,جمعية,,,1,دمشق,
621,"مهرجانات زنوبيا",57,55,,,,3,جمعية,,,1,دمشق,
622,"السورية لخريجي الجامعات والمعاهد الامريكية",57,55,,,,3,جمعية,,,1,دمشق,
623,"حماية الطفل",57,55,,,,3,جمعية,,,2,حلب,
624,"الكفرين الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
625,"حجيرة البلد الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
626,"اعفاف الخيرية",57,55,,,,3,جمعية,,,1,دمشق,
627,"الحياة الخيرية",57,55,,,,3,جمعية,,,1,دمشق,
628,"الرابطة السورية للأمم المتحدة",57,55,,,,5,رابطة,,,1,دمشق,
629,"الرعاية الصحية الخيرية",57,55,,,,3,جمعية,,,1,دمشق,
630,"الأخوة الخيرية في قرية دبين",57,55,,,,3,جمعية,,,9,حمص,
631,"البراعم الخيرية للاطف المعوقين في دوما",73,76,,,,3,جمعية,,,13,"ريف دمشق",
632,"الحميدية الخيرية",57,55,,,,3,جمعية,,,12,القنيطرة,
633,"جمعية البر و الإحسان الخيرية في رأس العين",100,77,,,,3,جمعية,,,3,الحسكة,
634,"الاخاء والمحبة الخيرية",57,57,,,,3,جمعية,,,12,القنيطرة,
635,"حنين الخيرية",57,59,,,,3,جمعية,,,1,دمشق,
636,"عرمان الخيرية",57,55,,,,3,جمعية,,,5,السويداء,
637,"أصدقاء الموسيقى",52,53,,,,3,جمعية,,,,,
638,"العفاف والتكافل الخيرية",57,55,,,,3,جمعية,,,2,حلب,
639,"النادي السوري لهواة الطوابع",57,55,,,,4,نادي,,,1,دمشق,
640,"معضمية الشام الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
641,"أبي بكر الصديق في عقربا",73,78,,,,3,جمعية,,,13,"ريف دمشق",
642,"جمعية شمس الغد للمعاقين جسدياً بحلب",57,55,,,,3,جمعية,,,2,حلب,
643,"شباب الأعمال السورية",57,55,,,,3,جمعية,,,2,حلب,
644,"الورود الصغيرة لرعاية وتأهيل ذوي الاحتياجات الخاصة",57,55,,,,3,جمعية,,,2,حلب,
645,"افاق الروح للنساء المعاقات",57,55,,,,3,جمعية,,,1,دمشق,
646,"خيارة دنون الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
647,"البر الخيرية في حوش عرب",73,76,,,,3,جمعية,,,13,"ريف دمشق",
648,"جمعية مورك الخيرية",57,55,,,,3,جمعية,,,8,حماة,
649,"السورية للشحن والامداد الوطني (مالكي مكاتب الشحن التعاونية سابقاً)",57,55,,,,3,جمعية,,,2,حلب,
650,"الخيرية الاجتماعية بأشرفية صحنايا",73,78,,,,3,جمعية,,,13,"ريف دمشق",
651,بنا,57,55,,,,3,جمعية,,,1,دمشق,
652,"أصدقاء حلب",57,55,,,,3,جمعية,,,2,حلب,
653,"رابطة الحكمة",57,55,,,,5,رابطة,,,1,دمشق,
654,"رعاية المكفوفين",73,76,,,,3,جمعية,,,4,الرقة,
655,"السورية للعلوم الاساسية والطبيعية",57,55,,,,3,جمعية,,,1,دمشق,
656,"برشين الخيرية",57,55,,,,3,جمعية,,,8,حماة,
657,"الفلكية السورية",57,55,,,,3,جمعية,,,1,دمشق,
658,"سلامة المحاصيل الزراعية",57,55,,,,3,جمعية,,,1,دمشق,
659,"السورية للتنمية",57,55,,,,3,جمعية,,,1,دمشق,
660,"الخيرات في حزرما",73,76,,,,3,جمعية,,,13,"ريف دمشق",
661,"معاذ بن جبل بالصبورة",73,76,,,,3,جمعية,,,13,"ريف دمشق",
662,"لمسة حنان الخيرية في جرمانا",73,76,,,,3,جمعية,,,13,"ريف دمشق",
663,"التآخي الخيرية بصحنايا",73,76,,,,3,جمعية,,,13,"ريف دمشق",
664,"آباء وابناء الخيرية في قدسيا",73,76,,,,3,جمعية,,,13,"ريف دمشق",
665,"أصدقاء مدينة النبك",73,76,,,,3,جمعية,,,13,"ريف دمشق",
666,"حفظ النعمة",100,100,,,,3,جمعية,,,1,دمشق,
667,"مركز دندرة الثقافي",73,76,,,,3,جمعية,,,13,"ريف دمشق",
668,"النور الخيرية في مصياف",57,55,,,,3,جمعية,,,8,حماة,
669,"جمعية كفر نبودة الخيرية",57,55,,,,3,جمعية,,,8,حماة,
670,"السلام الخيرية في كرم بيرم",73,76,,,,3,جمعية,,,14,طرطوس,
671,"الشباب لحماية البيئة",57,55,,,,3,جمعية,,,11,اللاذقية,
672,"رعاية الطفولة والأيتام في أبو حمام",57,55,,,,3,جمعية,,,7,"دير الزور",
673,"المصدرين السوريين للألبسة والنسيج",57,55,,,,3,جمعية,,,1,دمشق,
674,الندى,57,55,,,,3,جمعية,,,1,دمشق,
675,"الدواء السورية",57,55,,,,3,جمعية,,,1,دمشق,
676,"السورية للملكية الفكرية",57,55,,,,3,جمعية,,,1,دمشق,
677,اليرموك,57,55,,,,3,جمعية,,,1,دمشق,
678,"السورية للعطاء الخيري بداريا",73,76,,,,3,جمعية,,,13,"ريف دمشق",
679,"اصدقاء البيئة",57,55,,,,3,جمعية,,,5,السويداء,
680,"المرأة الذكية",100,90,,,,3,جمعية,,,14,طرطوس,
681,"الرضا الخيرية",57,55,,,,3,جمعية,,,1,دمشق,
682,"الإحسان لرعاية الأيتام",73,76,,,,3,جمعية,,,4,الرقة,
683,"الجمعية السورية لمكافحة السرطان بحمص",100,90,,,,3,جمعية,,,9,حمص,
684,"البشائر الخيرية",57,55,,,,3,جمعية,,,11,اللاذقية,
685,"المرأة السورية للعلوم والتكنولوجيا",57,55,,,,3,جمعية,,,2,حلب,
686,"لا تنسى اخاك",57,55,,,,3,جمعية,,,1,دمشق,
687,"عسال الورد الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
688,"السورية لحوار الحضارات والدراسات الاسلامية المستقبلية",57,55,,,,3,جمعية,,,1,دمشق,
689,"شباب المستقبل",57,57,,,,3,جمعية,,,1,دمشق,
690,"الأمل لرعاية المعوقين بالقريتين",57,55,,,,3,جمعية,,,9,حمص,
691,"التنمية الخيرية",57,55,,,,3,جمعية,,,1,دمشق,
692,"الزاكية الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
693,"الحكمة الخيرية",57,55,,,,3,جمعية,,,1,دمشق,
694,"حماية المستهلك بالحسكة",29,33,,,,3,جمعية,,,3,الحسكة,
695,"الموهبة والابداع",57,55,,,,3,جمعية,,,1,دمشق,
696,"مالك بن انس الخيرية",57,55,,,,3,جمعية,,,1,دمشق,
697,حريتان,57,55,,,,3,جمعية,,,2,حلب,
698,"خربة غزالة",57,55,,,,3,جمعية,,,6,درعا,
699,"السنابل الخيرية",57,55,,,,3,جمعية,,,2,حلب,
700,"جمعية الشباب الخيرية",94,88,,,,3,جمعية,,,1,دمشق,
701,"السورية للإدارة",57,55,,,,3,جمعية,,,1,دمشق,
702,"مكاتب الاستشارات الاقتصادية والادارية",57,55,,,,3,جمعية,,,1,دمشق,
703,"الأصالة الثقافية",57,55,,,,3,جمعية,,,9,حمص,
704,"الاهلية السورية للترقق العظمي",57,55,,,,3,جمعية,,,1,دمشق,
705,"اصدقاء جايكا",57,55,,,,3,جمعية,,,1,دمشق,
706,"المكان للفنون",57,55,,,,3,جمعية,,,1,دمشق,
707,الرواد,57,55,,,,3,جمعية,,,5,السويداء,
708,"سهوة البلاطة الخيرية",57,55,,,,3,جمعية,,,5,السويداء,
709,"العمل الخيري الاجتماعي",57,55,,,,3,جمعية,,,1,دمشق,
710,"ملح الخيرية",57,55,,,,3,جمعية,,,5,السويداء,
711,"الربيع لرعاية المصابين باضطراب التوحد",57,55,,,,3,جمعية,,,9,حمص,
712,"حي القلعة الخيرية",57,55,,,,3,جمعية,,,5,السويداء,
713,"الشهباء للأبحاث وطب الفم الوقائي",57,55,,,,3,جمعية,,,2,حلب,
714,"الجولان الخيرية يتناول نشاطها محافظة ريف دمشق",57,55,,,,3,جمعية,,,12,القنيطرة,
715,"مفاتيح الخير",57,55,,,,3,جمعية,,,1,دمشق,
716,"الوطنية للتنمية البيئية",83,80,,,,3,جمعية,,,2,حلب,
717,سكرة,57,55,,,,3,جمعية,,,9,حمص,
718,"جمعية المحبة الخيرية لرعاية المعوقين",57,55,,,,3,جمعية,,,8,حماة,
719,"الإنسانية الخيرية",57,55,,,,3,جمعية,,,9,حمص,
720,"الأسرة الخيرية بالنبك",73,76,,,,3,جمعية,,,13,"ريف دمشق",
721,"البر والتقوى في العصيبة",73,76,,,,3,جمعية,,,14,طرطوس,
722,"أنيس سعادة الملائكية",100,88,,,,3,جمعية,,,14,طرطوس,
723,"السورية للتوحد",57,55,,,,3,جمعية,,,1,دمشق,
724,"النهضة الفنية",57,55,,,,3,جمعية,,,1,دمشق,
725,"المجيمر الخيرية",57,55,,,,3,جمعية,,,5,السويداء,
726,"بيت ملائكة الحب بصيدنايا",73,76,,,,3,جمعية,,,13,"ريف دمشق",
727,"السورية لمرضى الناعور",57,55,,,,3,جمعية,,,1,دمشق,
728,"بشراغي الخيرية",57,55,,,,3,جمعية,,,11,اللاذقية,
729,"المجد لامهات الاطفال ذوي الاحتياجات الخاصة",100,88,,,,3,جمعية,,,1,دمشق,
730,"حقوق الطفل الخيرية",52,55,,,,3,جمعية,,,,,
731,الهادي,57,57,,,,3,جمعية,,,9,حمص,
732,الإنماء,57,55,,,,3,جمعية,,,9,حمص,
733,"البويضة الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
734,"المتقاعدين المدنيين الخيرية بجرمانا",73,76,,,,3,جمعية,,,13,"ريف دمشق",
735,"دير ماما الخيرية",57,55,,,,3,جمعية,,,8,حماة,
736,"إنماء حلا الخيرية الثقافية الاجتماعية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
737,"الجمعية السورية لأخصائي البصريات",73,76,,,,3,جمعية,,,2,حلب,
738,"أصدقاء مدينة معلولا",73,76,,,,3,جمعية,,,13,"ريف دمشق",
739,"الرشيد الخيرية",57,55,,,,3,جمعية,,,1,دمشق,
740,"جمعية أصدقاء سلمية",63,59,,,,3,جمعية,,,8,حماة,
741,"بيت ثابر",73,76,,,,3,جمعية,,,13,"ريف دمشق",
742,"المدى الاجتماعية البيئية",57,55,,,,3,جمعية,,,11,اللاذقية,
743,"التقوى الخيرية بدير سلمان",73,76,,,,3,جمعية,,,13,"ريف دمشق",
744,"التنمية والثقافة والخدمات الانسانية",57,55,,,,3,جمعية,,,1,دمشق,
745,"جعفر الطيار الخيرية",57,55,,,,3,جمعية,,,11,اللاذقية,
746,"قرية عين عيشة الخيرية",57,55,,,,3,جمعية,,,12,القنيطرة,
747,"الاسراء للتنمية الخيرية",57,55,,,,3,جمعية,,,1,دمشق,
748,"بيت سوى",73,76,,,,3,جمعية,,,13,"ريف دمشق",
749,"الصحة في مدينة الضمير",73,76,,,,3,جمعية,,,13,"ريف دمشق",
750,"الصحة الخيرية حرستا",73,76,,,,3,جمعية,,,13,"ريف دمشق",
751,"عطاء بلا حدود",57,55,,,,3,جمعية,,,1,دمشق,
752,"الجمعية السورية لحماية البيئة المائية",57,55,,,,3,جمعية,,,11,اللاذقية,
753,"البر والشفاء بالهيجانة",73,76,,,,3,جمعية,,,13,"ريف دمشق",
754,"معتي الخيرية",73,76,,,,3,جمعية,,,14,طرطوس,
755,"آفاق المستقبل التنموية بالنشابية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
756,"شباط الخيرية",100,86,,,,3,جمعية,,,14,طرطوس,
757,"اسرة مسرح الطفل",57,55,,,,3,جمعية,,,11,اللاذقية,
758,"مركز الأعمال والمؤسسات السوري",57,61,,,,3,جمعية,,,1,دمشق,
759,"شمس الجولان الخيرية",100,92,,,,3,جمعية,,,12,القنيطرة,
760,"اصدقاء محردة للأعمال الخيرية",57,55,,,,3,جمعية,,,8,حماة,
761,"الاشراف الخيرية",57,55,,,,3,جمعية,,,1,دمشق,
762,"السورية للتآخي من المذاهب الفقهية الاسلامية",57,55,,,,3,جمعية,,,1,دمشق,
763,"التنمية الاجتماعية",57,55,,,,3,جمعية,,,1,دمشق,
764,"الثعلة الخيرية",57,55,,,,3,جمعية,,,5,السويداء,
765,صدى,57,55,,,,3,جمعية,,,1,دمشق,
766,"المنتدى الشبابي",57,55,,,,3,جمعية,,,1,دمشق,
767,"السورية للزهايمر والذاكرة",57,55,,,,3,جمعية,,,1,دمشق,
768,"مريم لذوي الاحتياجات الخاصة",57,55,,,,3,جمعية,,,10,إدلب,
769,"الوطنية للتوعية الاجتماعية",57,55,,,,3,جمعية,,,1,دمشق,
770,"حماية الطبيعة بطرطوس",73,76,,,,3,جمعية,,,14,طرطوس,
771,"التنوع الحيوي والمكافحة المتكاملة",57,55,,,,3,جمعية,,,5,السويداء,
772,"الصالحين الخيرية",57,55,,,,3,جمعية,,,1,دمشق,
773,"خان الشيح الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
774,"رعاية وتطوير الكفاءات العلمية السورية",57,55,,,,3,جمعية,,,1,دمشق,
775,"سليم الخيرية",57,55,,,,3,جمعية,,,5,السويداء,
776,"المؤلفين والملحنين وناشري الموسيقا",57,55,,,,3,جمعية,,,1,دمشق,
777,"اصحاب المدارس والمعاهد الخاصة",57,55,,,,3,جمعية,,,1,دمشق,
778,"جنينة رسلان الخيرية",73,76,,,,3,جمعية,,,14,طرطوس,
779,"سلامة الصحة والبيئة",57,55,,,,3,جمعية,,,1,دمشق,
780,"السورية لرعاية المعاقين ذهنياً",57,55,,,,3,جمعية,,,1,دمشق,
781,"الصحة الخيرية بالكسوة",73,76,,,,3,جمعية,,,13,"ريف دمشق",
782,"دفن الموتى في الفيحاء",100,86,,,,3,جمعية,,,14,طرطوس,
783,"حي عشيرة",57,55,,,,3,جمعية,,,9,حمص,
784,"نادي الطيران السوري",57,55,,,,4,نادي,,,1,دمشق,
785,"البر ولإحسان بالعشارة",57,55,,,,3,جمعية,,,7,"دير الزور",
786,"السورية للنباتات الطبية",57,55,,,,3,جمعية,,,1,دمشق,
787,"بسمة لدعم الأطفال المصابين بالسرطان واهاليهم",57,55,,,,3,جمعية,,,1,دمشق,
788,"رجال الاعمال السوريين",57,55,,,,3,جمعية,,,1,دمشق,
789,"حياة المحبة للرعاية الاجتماعية",57,55,,,,3,جمعية,,,1,دمشق,
790,"الخليل الخيرية",57,55,,,,3,جمعية,,,1,دمشق,
791,"السورية لخريجي الجامعات والمعاهد الفرنسية",57,55,,,,3,جمعية,,,1,دمشق,
792,"حماية البيئة والتنمية المستدامة",57,55,,,,3,جمعية,,,1,دمشق,
793,"التنمية والتطوير للخير",61,59,,,,3,جمعية,,,1,دمشق,
794,"الفوعة الخيرية",57,55,,,,3,جمعية,,,10,إدلب,
795,"جمعية صوران الخيرية",94,84,,,,3,جمعية,,,8,حماة,
796,"السهوة الخيرية",57,55,,,,3,جمعية,,,6,درعا,
797,"حماية البيئة بالقامشلي",29,33,,,,3,جمعية,,,3,الحسكة,
798,"اصدقاء بلودان",73,76,,,,3,جمعية,,,13,"ريف دمشق",
799,"البراعم للأطفال المعوقين فكرياً بدوما",73,76,,,,3,جمعية,,,13,"ريف دمشق",
800,"الفنون الشعبية لإحياء التراث",57,55,,,,3,جمعية,,,8,حماة,
801,"الأسرة القانونية",57,55,,,,3,جمعية,,,9,حمص,
802,"القدس الخيرية",57,55,,,,3,جمعية,,,1,دمشق,
803,"الأدب الشعبي وأصدقاء التراث",57,55,,,,3,جمعية,,,5,السويداء,
804,"المقعدين واصدقائهم",57,55,,,,3,جمعية,,,11,اللاذقية,
805,"الامل لذوي الاحتياجات الخاصة",57,55,,,,3,جمعية,,,11,اللاذقية,
806,"نادي أعضاء مجلس مدينة حلب",57,55,,,,4,نادي,,,2,حلب,
807,"دعم وتشجيع الشباب",57,55,,,,1,مؤسسة,,,1,دمشق,
808,"الوئام السورية للنساء الكفيفات",57,55,,,,3,جمعية,,,1,دمشق,
809,"دير شميل الخيرية",57,55,,,,3,جمعية,,,8,حماة,
810,مريمين,57,55,,,,3,جمعية,,,9,حمص,
811,"بشائر النور لأطفال التوحد ومتلازمة الداون",57,55,,,,3,جمعية,,,11,اللاذقية,
812,"المنتدى الثقافي لذوي الاحتياجات الخاصة",57,55,,,,3,جمعية,,,2,حلب,
813,"الملائكة الخيرية للأيتام في صيدنايا",73,76,,,,3,جمعية,,,13,"ريف دمشق",
814,"السكرية الخيرية",57,55,,,,3,جمعية,,,7,"دير الزور",
815,"الرحمة والمودة الخيرية بالقطيفة",73,76,,,,3,جمعية,,,13,"ريف دمشق",
816,"الملتقى الاجتماعي في القرداحة",57,55,,,,3,جمعية,,,11,اللاذقية,
817,"الجولان لحماية البيئة والتراث",57,57,,,,3,جمعية,,,12,القنيطرة,
818,"البركة الخيرية",57,55,,,,3,جمعية,,,2,حلب,
819,"أصدقاء بلغاريا",57,55,,,,3,جمعية,,,2,حلب,
820,"احلام الطفولة لذوي الاعاقة في الحجر الاسود",73,76,,,,3,جمعية,,,13,"ريف دمشق",
821,"تدمر للحفاظ على البيئة والحياة البرية",57,55,,,,3,جمعية,,,9,حمص,
822,"الخريجين السوريين من المعاهد والجامعات الهولندية",57,55,,,,3,جمعية,,,1,دمشق,
823,"سوق وادي بردى",73,76,,,,3,جمعية,,,13,"ريف دمشق",
824,"جمعية معردس الخيرية",57,55,,,,3,جمعية,,,8,حماة,
825,"ماري للثقافة والفنون",73,76,,,,3,جمعية,,,4,الرقة,
826,"أهل الخير",96,82,,,,3,جمعية,,,2,حلب,
827,"المصابين بداء التصلب اللويحي",67,73,,,,3,جمعية,,,1,دمشق,
828,"البر والتنمية الخيرية في منبج",67,73,,,,3,جمعية,,,2,حلب,
829,"زالبا لحماية البيئة",73,76,,,,3,جمعية,,,4,الرقة,
830,"تدمر للحفاظ على البيئة والحياة البرية",67,73,,,,3,جمعية,,,9,حمص,
831,"سلمى الخيرية الاجتماعية",67,73,,,,3,جمعية,,,11,اللاذقية,
832,"جمعية رعاية الاطفال المصابين بالشلل الدماغي في سلمية",57,55,,,,3,جمعية,,,8,حماة,
833,"عين قيطة الخيرية",67,73,,,,3,جمعية,,,11,اللاذقية,
834,"انعاش قرية الرقمة",73,76,,,,3,جمعية,,,14,طرطوس,
835,"القلايع الخيرية",67,73,,,,3,جمعية,,,11,اللاذقية,
836,"الرحمة الخيرية",67,73,,,,3,جمعية,,,2,حلب,
837,"الشفاء الخيرية بداريا",73,76,,,,3,جمعية,,,13,"ريف دمشق",
838,"صندوق العافية الخيري بحمص",90,80,,,,3,جمعية,,,9,حمص,
839,"الانعام الخيرية",67,73,,,,3,جمعية,,,1,دمشق,
840,"مهين للمعاقين",67,73,,,,3,جمعية,,,9,حمص,
841,"المقيلبية الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
842,"البر والإحسان في فتاح نصار",73,76,,,,3,جمعية,,,14,طرطوس,
843,"الإحسان الخيرية في الغدفة",67,73,,,,3,جمعية,,,10,إدلب,
